140012bb8	_beginthreadex	refs=
140012bca	_endthreadex	refs=
140012bda	free	refs=
140012be2	calloc	refs=
140012bec	_errno	refs=
140012bf6	_invalid_parameter_noinfo	refs=
140012c12	exit	refs=
140012c1a	malloc	refs=
140012c24	_resetstkoflw	refs=
140012c34	_recalloc	refs=
140012c40	__stdio_common_vsprintf_s	refs=
140012c5c	_configure_narrow_argv	refs=
140012c76	_initialize_narrow_environment	refs=
140012c98	_initialize_onexit_table	refs=
140012cb4	_register_onexit_function	refs=
140012cd0	_crt_atexit	refs=
140012cde	_cexit	refs=
140012ce8	_seh_filter_exe	refs=
140012cfa	_set_app_type	refs=
140012d0a	__setusermatherr	refs=
140012d1e	_get_narrow_winmain_command_line	refs=
140012d42	_initterm	refs=
140012d4e	_initterm_e	refs=
140012d5c	_exit	refs=
140012d64	_set_fmode	refs=
140012d72	_c_exit	refs=
140012d7c	_register_thread_local_exe_atexit_callback	refs=
140012daa	_configthreadlocale	refs=
140012dc0	_set_new_mode	refs=
140012dd0	__p__commode	refs=
140012de0	terminate	refs=
140012dea	api-ms-win-crt-runtime-l1-1-0.dll	refs=
140012e0c	api-ms-win-crt-heap-l1-1-0.dll	refs=
140012e2c	api-ms-win-crt-stdio-l1-1-0.dll	refs=
140012e4c	api-ms-win-crt-math-l1-1-0.dll	refs=
140012e6c	api-ms-win-crt-locale-l1-1-0.dll	refs=
140012e90	OutputDebugStringW	refs=
140012ea6	_setmbcp	refs=
140012eb2	_CxxThrowException	refs=
140012ec8	memcpy	refs=
140012ed2	atan	refs=
140012eda	cos	refs=
140012ee0	sin	refs=
140013040	WyWA7do5FzTHuHfbsigE9FQX7CjZQ0/uP2MJPhbknEiFQ5o1z1zBYHE8WZrcLqLtJ+u2MSj7tbCs7+yQX/cDBwm2Clq+bEKmFsvqkY7qjRUiuL9Y94TtQcNrqPxgGGz2x09NMMSzDK0w0hVV6OGpC9wD8F9K2H1DFeTv5yBd67YLKZsZLey1Y/4AN0+J/yHV2g6rCw+MpJlVPVjpQQayAl2STRkpNWQL8vh2AdY41QYODviiGwG1kpYUpserVB+dQeXt3e0fC74IO909SgVmDVj1HknnYRYEzh51N5hjBx6kNC+eqi3jlyJElItaKUs/Mdg3MDo77N2WBIb4aBpGckFINW9wPQiMqjFPZc6EVInLEqvH9Nx3p7vqtWx5BQOCTA2TRNUijjRXs8BQlSjmUQiD7a7SmxOTwITuI/62eFWIRk/KkcNAT/e/HDSwsytUupTqn/9FcIbd9PXU3DjlZHXF5RrjRco8DNu2wUGP9pve2eLV/Dyx2PPp8rLQKrx2REd1ty6zRy7yjFgdCBPK+WscAJJnDgiXcXB6j6DuINvJG3LPX+drQnRf8w3C36byqS/ROFnxeskFy5IEHsQeDOKUxyfanAlQSo0cq0t0U/dt/DmIrkOb/it9N6+KzECeAcOPDcpAeMCMBR9YHvQHqN/oC77+Yaa5S/TQNiPPj40EX9Y4KQCNk/b08GDwhmC19WMgsTC61RwBNA7f2gCwjktw1cTe9PZzeMDhruhJFMGDN7AkKRNjEGnaeip3J6buk+yQaibPeXHFJ6oVsVES54sfrQ6sdfg86QHYjF0TUuHjkgOG4Yp02s34lUvue0cEeIugxpdxxTKn1vbE25j7ZKRutSriAy+n5xOqvNyv8fbHX85LF2zTLOmAUZKaoHEB0ZPrwVHpt4jXL49N2ZyDHSM45kYRsbtzowwXDaPIGOELG09TTPF1JCDkHFq5iYd7czW/eAHNdTz37dW1l9WGQg==	refs=1400035c4
140013438	.?AVtype_info@@	refs=
140013458	.?AVCCmdTarget@@	refs=
140013480	.?AVCWinApp@@	refs=
1400134a0	.?AVCWinThread@@	refs=
1400134c8	.?AVCDSPIApp@@	refs=
1400134e8	.?AVCBrush@@	refs=
140013508	.?AVCGdiObject@@	refs=
140013530	.?AVCObject@@	refs=
140013550	.PEAVCException@@	refs=
140013578	.?AVCDialog@@	refs=
140013598	.?AVCAboutDlg@@	refs=
1400135b8	.?AVCDialogEx@@	refs=
1400135d8	.?AVCDSPIDlg@@	refs=
1400135f8	.?AVBlockBuffer@CnComm@@	refs=
140013628	.?AVCnComm@@	refs=
140013648	.?AVBitmap@Gdiplus@@	refs=
140013670	.?AVImage@Gdiplus@@	refs=
140013698	.?AVGdiplusBase@Gdiplus@@	refs=
